Iteration,Label,Confidence Score,x_min,y_min,x_max,y_max
1,['wheel'],[0.9019207],[0.5893707275390625],[355.9375915527344],[147.3851776123047],[510.3997802734375]
2,['wheel'],[0.908618],[0.8083248138427734],[356.6335144042969],[164.62704467773438],[510.4090576171875]
3,"['wheel', 'wheel']",[0.8539127 0.4979248],"[13.694448471069336, 0.20763754844665527]","[357.72210693359375, 367.8059997558594]","[181.37103271484375, 26.50006866455078]","[510.8741760253906, 500.0822448730469]"
4,"['wheel', 'wheel']",[0.8489722  0.57654196],"[30.5880069732666, 0.2448129653930664]","[357.5095520019531, 361.4726867675781]","[199.46495056152344, 42.638572692871094]","[511.6968078613281, 503.0203552246094]"
5,"['wheel', 'wheel']",[0.85195285 0.6951311 ],"[47.22809600830078, 0.33128976821899414]","[356.83587646484375, 358.32098388671875]","[217.61245727539062, 59.51822280883789]","[512.5211181640625, 504.58306884765625]"
6,"['wheel', 'wheel']",[0.84695786 0.69678426],"[64.5889892578125, 0.28995513916015625]","[357.498046875, 357.6698913574219]","[235.86561584472656, 76.0286865234375]","[512.9560546875, 510.16619873046875]"
7,"['wheel', 'wheel']",[0.84796774 0.46004632],"[81.88422393798828, 0.2920198440551758]","[357.0303039550781, 356.9420166015625]","[253.556640625, 92.98796081542969]","[513.766845703125, 513.8500366210938]"
8,"['wheel', 'wheel', 'wheel', 'wheel']",[0.73411953 0.4506011  0.4120569  0.36658973],"[100.58148193359375, 22.860021591186523, 0.21196365356445312, 0.4194498062133789]","[357.4353942871094, 357.7198791503906, 359.4696960449219, 356.6127014160156]","[272.4161376953125, 110.99483489990234, 76.43390655517578, 110.50971984863281]","[514.056884765625, 506.2179870605469, 519.226806640625, 519.6681518554688]"
9,"['wheel', 'wheel']",[0.79565805 0.57320064],"[118.2042007446289, 0.29430389404296875]","[357.14886474609375, 356.9818115234375]","[291.0078125, 127.8743667602539]","[514.6812744140625, 520.0974731445312]"
10,"['wheel', 'wheel', 'wheel', 'wheel']",[0.72095805 0.42202815 0.4115838  0.36206648],"[134.87535095214844, 0.2543020248413086, 0.5050468444824219, 53.39746856689453]","[357.78753662109375, 358.9347229003906, 357.566650390625, 358.6525573730469]","[309.4177551269531, 112.79285430908203, 145.83843994140625, 146.58676147460938]","[515.4739379882812, 520.9043579101562, 520.7378540039062, 508.1667785644531]"
